"Buurten";"Naam van de buurt";"Aantal 0 tem 17-jarigen";"Aantal 18 tem 64-jarigen";"Aantal 65-plussers";"Aantal 80 tem 89-jarigen";"Aantal 90+'ers";"Interne vergrijzing";"Bevolkingsdichtheid (inw/ha)";"Bevolkingsdichtheid woongebied"
"T03-";"STUIVENBERG";454;1800;462;132;52;39,8;112;11202
"T04-";"OUDE JUSTITIE";322;1158;340;76;16;27,1;144;14361
"T05-";"TURKEYEN";466;1538;227;39;12;22,5;163;16306
"T09-";"VESTINGEN";57;210;231;82;29;48,1;4;5018
"T10-";"RUYTENBURG";439;1468;347;77;12;25,6;97;9699
"T111";"FRUITHOF";412;1867;1060;342;84;40,2;112;12094
"T12-";"OUDE BAEN";280;1027;552;157;99;46,4;83;8293
"T13-";"MOLENVELD";413;1426;426;99;20;27,9;93;10429
"T14-";"DE VELDEKENS";520;1809;567;155;41;34,6;84;9322
"T180";"ROOY";41;214;330;95;66;48,8;17;4344
"T19-";"DE SCHOM";"";"";"";"";"";"";"";""
"T20-";"GITSCHOTEL";826;2642;648;147;28;27,0;137;13875
"T21-";"VOSSTRAETE";467;1167;218;55;9;29,4;92;9218
"T22-";"GROENENHOEK";469;1432;288;61;6;23,3;101;10581
"T23-";"BERCHEMBOS";308;835;218;55;6;28,0;95;9513
"T24-";"TUINWIJK";216;474;154;23;".";16,9;61;8119
"T25-";"HET PRIEEL";57;217;136;24;".";19,9;32;3548
"T30-";"ZURENBORG";304;1301;241;48;8;23,2;99;10802
"T39-";"OOSTKWARTIER";".";7;".";".";".";"-";".";"."
"T412";"ZILVERBEEK";160;775;822;312;56;44,8;120;12389
"T42-";"DE ZEPTEN";338;1252;433;119;23;32,8;75;9332
"U00-";"WILRIJK-CENTRUM";648;1946;868;227;50;31,9;86;9014
"U01-";"YPERMAN - STEYTELINCK";506;1541;979;297;175;48,2;39;6836
"U02-";"OVERSNES - DUIVELSHOEK";770;1898;708;171;66;33,5;96;9714
"U03-";"KOORNBLOEM";528;1542;486;91;10;20,8;49;5142
"U09-";"SLIJKHOEK - FORT 6";21;76;20;".";".";10,0;2;1699
"U10-";"HONDSNEST - MOLENVELD";686;1978;766;214;92;39,9;54;5756
"U11-";"PARKWIJK";389;1253;340;73;23;28,2;43;4344
"U20-";"VALAAR - DE BREM";1428;3451;1075;250;56;28,5;65;8763
"U21-";"DE BRUYNLAAN-ZUID";1052;2253;464;93;26;25,6;132;13458
"U22-";"DE BRUYNLAAN-NOORD";346;751;99;25;5;30,3;255;25564
"U30-";"OOSTERVELD";741;2105;531;103;39;26,7;93;9971
"U31-";"ELSDONK-OOST";256;754;184;43;9;28,3;80;9342
"U32-";"ELSDONK-WEST";290;740;227;47;9;24,7;26;2690
"U33-";"SINT-AUGUSTINUS";558;1660;589;150;57;35,1;58;8337
"U40-";"EDEN";433;1158;460;113;10;26,7;39;7392
"U41-";"U.I.A. VOORJAARSSTRAAT";167;467;169;45;7;30,8;14;4978
"U43-";"GALLAITLAAN";287;759;417;109;20;30,9;29;6786
"U47-";"INDUSTRIEPARK-OOST";41;120;46;11;".";26,1;3;3120
"U57-";"TER BEKE HOF DREEF";56;112;30;8;".";36,7;2;172242
"U5MA";"GROENE HOEK - TER BEKE";".";7;".";".";".";"-";".";"."
"U5PA";"GROENE HOEK - TER BEKE";".";".";".";".";".";"-";".";"-"
"U60-";"DOOY SLOOY";137;263;81;23;".";30,9;12;2797
"U68-";"SCHOONSELHOF - FORT 7";".";".";".";".";".";"-";".";"."
"U69-";"KLAVERBLAD";5;".";".";".";".";".";".";"."
"V00-";"HOBOKEN - CENTRUM";417;1072;337;84;20;30,9;82;8667
"V01-";"KLOOSTERSTRAAT";630;1414;400;105;19;31,0;78;7808
